Journal,Issn,Publisher,Society,Author guideline url,Data citation score,Data citation justification,Data transparency score,Data transparency justification,Analysis code transparency score,Analysis code transparency justification,Materials transparency score,Materials transparency justification,Design & analysis reporting guidelines score,Design & analysis reporting guidelines justification,Study preregistration score,Study preregistration justification,Analysis plan preregistration score,Analysis plan preregistration justification,Replication score,Replication justification,Registered reports & publication bias score,Registered reports & publication bias justification,Open science badges score,Open science badges justification,Total
Immunity,1074-7613,Cell Press,,https://www.cell.com/immunity/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Heliyon,2405-8440,Cell Press,,https://www.cell.com/heliyon/guide-for-authors,1,Dataset citation is encouraged.,0,"States that data must be available, but it is unclear if this must be in a repository or otherwise. ",0,"Encourages analysis code sharing, but does not require an availability statement.",0,"Encourages analysis code sharing, but does not require an availability statement.",1,Encourages use of reporting guidelines from BioSharing.,0,Requires preregistration for clinical trial work only.,0,Requires preregistration for clinical trial work only.,0,"",1,"Research judged on technical soundness only, not perceived impact.",0,"",3
Developmental Cell,1534-5807,Cell Press,,https://www.cell.com/developmental-cell/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Current Biology,0960-9822,Cell Press,,https://www.cell.com/current-biology/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Chem,2451-9294,Cell Press,,https://www.cell.com/chem/authors,0,No mention of dataset citation.,1,Requires availability statement.,1,Requires code availability statement as part of STAR Methods,1,Requires a materials availability statement.,0,Does not require or mention the STAR Methods.,0,No mention of preregistration.,0,No mention of preregistration with analysis plans.,0,No mention of replication.,0,"",0,"",3
Cell Systems,2405-4712,Cell Press,,https://www.cell.com/cell-systems/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Cell Stem Cell,1934-5909,Cell Press,,https://www.cell.com/cell-stem-cell/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Cell Reports Physical Science,2666-3864,Cell Press,,https://www.cell.com/cell-reports-physical-science/authors,0,"",1,"Requires a data availability statement. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",1,Requires a code availability statement.,1,Requires a materials availability statement.,0,"",0,"",0,"",0,"",0,"",0,"",3
Cell Reports Medicine,2666-3791,Cell Press,,https://www.cell.com/cell-reports-medicine/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",1,Requires a code availability statement as part of STAR Methods.,1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,0,"",0,"",1,"",0,"",0,"",8
Cell Reports,2211-1247,Cell Press,,https://www.cell.com/cell-reports/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Cell Metabolism,1550-4131,Cell Press,,https://www.cell.com/cell-metabolism/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Cell Host and Microbe,1931-3128,Cell Press,,https://www.cell.com/cell-host-microbe/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Cell Chemical Biology,2451-9456,Cell Press,,https://www.cell.com/cell-chemical-biology/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations.,1,"",0,"",0,"",11
Cancer Cell,1535-6108,Cell Press,,https://www.cell.com/cancer-cell/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations. ,1,"",0,"",0,"",11
Educational Technology Research and Development,1556-6501,Springer Nature,,https://www.springer.com/journal/11423/submission-guidelines,1,"",0,Data sharing and data availability statements are encouraged. ,0,"",0,"",1,"",0,"",0,"",0,"",0,"",0,"",2
The Elementary School Journal,1554-8279,University of Chicago Press,,https://www.journals.uchicago.edu/journals/esj/instruct,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
Psychology in the Schools,1520-6807,Wiley,,https://onlinelibrary.wiley.com/page/journal/15206807/homepage/forauthors.html,2,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",3
eLife,2050-084X,,,https://reviewer.elifesciences.org/author-guide/journal-policies,2,"",2,"",2,"",2,"",2,"",1,"If preregistered, authors are instructed to link to the preregistration.",1,"",1,"",0,Publishes Registered Reports of replication studies for a special issue: The Reproducibility Project: Cancer Biology (conducted by the Center for Open Science),0,"",13
Nature Sustainability,2398-9629,Springer Nature,,https://www.nature.com/natsustain/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Protocols,1750-2799,Springer Nature,,https://www.nature.com/nprot/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,"",1,"",0,"Likely follows preregistration policy common to all Nature Research journals, but not specified in author guidelines.",1,"Likely follows replication policy common to all Nature Research journals, but not specified in author guidelines.",1,"",0,"",11
Nature Physics,1745-2481,Springer Nature,,https://www.nature.com/nphys/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Neuroscience,1546-1726,Springer Nature,,https://www.nature.com/neuro/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Microbiology,2058-5276,Springer Nature,,https://www.nature.com/nmicrobiol/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Metabolism,2522-5812,Springer Nature,,https://www.nature.com/natmetab/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Materials,1476-4660,Springer Nature,,https://www.nature.com/nmat/for-authors/preparing-your-submission,1,"",1,"",1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,i,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Immunology,1529-2916,Springer Nature,,https://www.nature.com/ni/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Geoscience,1752-0908,Springer Nature,,https://www.nature.com/ngeo/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Food,2662-1355,Springer Nature,,https://www.nature.com/natfood/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Electronics,2520-1131,Springer Nature,,https://www.nature.com/natelectron/info/gta,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Climate Change,1758-6798,Springer Nature,,https://www.nature.com/nclimate/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Chemical Biology,1552-4469,Springer Nature,,https://www.nature.com/nchembio/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"",1,"",1,Encourages submission of replication studies.,0,"",0,"",11
Nature Catalysis,2520-1158,Springer Nature,,https://www.nature.com/natcatal/info/gta,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Biotechnology,1546-1696,Springer Nature,,https://www.nature.com/nbt/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Astronomy,2397-3366,Springer Nature,,https://www.nature.com/natastron/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"",1,"",1,"",0,"",0,"",9
Neuropsychopharmacology,1740-634X,Springer Nature,,https://www.nature.com/documents/npp_gta.pdf,0,No mention of dataset citation.,1,Requires availability statement.,0,No mention of code sharing or availability statement.,0,No mention of study materials sharing or availability statement.,0,"Requires using CONSORT reporting standards, but only for clinical trials.",0,"",0,"",0,"",0,"",0,"",1
Nature Structural & Molecular Biology,1545-9985,Springer Nature,,https://www.nature.com/nsmb/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Plants,2055-0278,Springer Nature,,https://www.nature.com/nplants/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"",1,"",1,"",0,"",0,"",9
Nature Photonics,1749-4893,Springer Nature,,https://www.nature.com/nphoton/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Nanotechnology,1748-3395,Springer Nature,,https://www.nature.com/nnano/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Methods,1548-7105,Springer Nature,,https://www.nature.com/nmeth/for-authors/preparing-your-submission,1,"",3,Follows Nature Research custom code peer review policy requiring code execution.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Medicine,1546-170X,Springer Nature,,https://www.nature.com/nm/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Machine Intelligence,2522-5839,Springer Nature,,https://www.nature.com/natmachintell/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Genetics,1546-1718,Springer Nature,,https://www.nature.com/ng/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Energy,2058-7546,Springer Nature,,https://www.nature.com/nenergy/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Ecology & Evolution,2397-334X,Springer Nature,,https://www.nature.com/natecolevol/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"",1,"",1,"",0,"",0,"",9
Nature Communications,2041-1723,Springer Nature,,https://www.nature.com/ncomms/submit/guide-to-authors,1,"",1,"",3,Follows Nature Research custom code peer review policy requiring code execution. ,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Chemistry,1755-4349,Springer Nature,,https://www.nature.com/nchem/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,en,0,"",0,"",9
Nature Cell Biology,1476-4679,Springer Nature,,https://www.nature.com/ncb/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",9
Nature Cancer,2662-1347,Springer Nature,,https://www.nature.com/natcancer/for-authors/preparing-your-submission,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Nature Biomedical Engineering,2157-846X,Springer Nature,,https://www.nature.com/natbiomedeng/info/gta,1,"",1,Requires availability statement.,1,Requires availability statement.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"",1,"",1,"",0,"",0,"",9
Nature,1476-4687,Springer Nature,,https://www.nature.com/nature-research/editorial-policies,1,"",1,Requires availability statement.,3,Follows Nature Research custom code peer review policy requiring code execution.,1,Materials identification is required in Nature's checklist.,2,Requires use of a reporting summary checklist for submissions that is published with the accepted manuscript.,1,"If authors preregistered, article will indicate where the preregistered information can be accessed.",1,Includes analysis plans in preregistration policy.,1,Encourages submission of replication studies.,0,"",0,"",11
Cell,2451-9294,Cell Press,,https://www.cell.com/cell/authors,2,"",1,"Requires a data availability statement as part of STAR Methods. Data deposition is mandatory for select datasets (e.g. protein sequences, DNA, and similar molecular data). ",2,"""For publication, any previously unreported custom computer code or algorithm used to generate results that are central to the main conclusions of a paper must be archived in a publicly accessible repository.""",1,Materials availability must be stated in STAR Methods. Recommends RRIDs. ,2,STAR Methods are required. ,1,"If authors preregistered, article will indicate where the pre-registered information can be accessed.",1,Policy mentions use of analysis plans in preregistrations. ,1,"",0,"",0,"",11
PLOS Pathogens,1553-7374,PLOS,,https://journals.plos.org/plospathogens/s/submission-guidelines,1,"",2,"",0,Materials and software transparency strongly encouraged,0,Materials and software transparency strongly encouraged,2,"",0,"",0,"",1,"",0,"",0,"",6
PLOS Neglected Tropical Diseases,1935-2735,PLOS,,https://journals.plos.org/plosntds/s/submission-guidelines,1,"",2,"",0,Materials and software transparency strongly encouraged,0,Materials and software transparency strongly encouraged,2,"",0,"",0,"",1,"",0,"",0,"",6
PLOS Genetics,1553-7404,PLOS,,https://journals.plos.org/plosgenetics/s/submission-guidelines,1,"",2,"",0,Materials and software transparency strongly encouraged,0,Materials and software transparency strongly encouraged,2,"",0,"",0,"",1,"",0,"",0,"",6
PLOS Computational Biology,1553-734X,PLOS,,https://journals.plos.org/ploscompbiol/s/submission-guidelines,1,"",2,"",0,Materials and software transparency strongly encouraged,0,Materials and software transparency strongly encouraged,2,"",0,"",0,"",1,"",0,"",0,"",6
PLOS Medicine,1549-1676,PLOS,,https://journals.plos.org/plosmedicine/s/submission-guidelines,1,"",2,"",0,Materials and software transparency strongly encouraged,0,Materials and software transparency strongly encouraged,2,"",0,PLOS Medicine abides by best practices endorsed by ICMJE for publishing the results of clinical trials that are required to be registered.,0,"",0,"",0,"",0,"",5
PLOS Biology,1545-7885,PLOS,,https://journals.plos.org/plosbiology/s/submission-guidelines,1,"",2,"",0,"Encourages analysis code sharing, but does not require an availability statement.",0,"Encourages materials sharing, but does not require an availability statement.",2,"",0,"",0,"",3,"",3,"",0,"",11
PLOS ONE,1932-6203,PLOS,,https://journals.plos.org/plosone/s/best-practices-in-research-reporting,1,"",2,"",0,"Expects code sharing, but does not require it or an availability statement.",0,"Expects materials sharing, but does not require it or an availability statement.",2,"",0,"",0,"",3,"",3,"",0,"",11
The Photogrammetric Record,1477-9730,Wiley,,https://onlinelibrary.wiley.com/page/journal/14779730/homepage/forauthors.html,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
The Modern Language Journal,1540-4781,Wiley,,https://onlinelibrary.wiley.com/page/journal/15404781/homepage/forauthors.html,0,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"Encourages materials sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",2,"",2
Strategic Management Journal,1097-0266,Wiley,,https://onlinelibrary.wiley.com/page/journal/10970266/homepage/forauthors.html,0,"",1,"",0,"",0,"",0,"",0,"",0,"",1,"",0,"",1,"",3
Sexual Abuse,1573-286X,SAGE,,https://us.sagepub.com/en-us/nam/sexual-abuse/journal201888#submission-guidelines,0,"",0,"",0,"",0,"",0,"",0,"",0,"",1,"Editorial: Seto, 2019, ""SA Editorial About Next Phase of More Open Science""",3,"",2,"",6
Quarterly Journal of Experimental Psychology,1747-0226,SAGE,,https://us.sagepub.com/en-us/nam/quarterly-journal-of-experimental-psychology/journal203389#submission-guidelines,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",3,"",2,"",5
Public Administration Review,1540-6210,Wiley,,https://www.publicadministrationreview.com/guidelines/,2,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",1,"",0,"",0,"",0,"",0,"",2,"",5
Psychology of Popular Media,2689-6575,American Psychological Association,,https://www.apa.org/pubs/journals/ppm/index?tab=4,0,"",0,"",0,"",0,"",1,"",0,"",0,"",0,"",0,"",2,"",3
Psychology of Men and Masculinities,1939-151X,American Psychological Association,,https://www.apa.org/pubs/journals/men/index?tab=4,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Psychological Methods,1939-1463,American Psychological Association,,https://www.apa.org/pubs/journals/met/?tab=4,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Political Communication,1091-7675,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?show=instructions&journalCode=upcp20,1,"",2,"",0,"",0,"",1,"",0,"",0,"",0,"",0,"",2,"",6
Neuroscience of Consciousness,2057-2107,Oxford University Press,,https://academic.oup.com/nc/pages/General_Instructions,0,"",1,"",0,"",0,"",0,"",0,"",0,"",0,"",3,"",2,"",6
Neuropsychology,1931-1559,American Psychological Association,,https://www.apa.org/pubs/journals/neu/index?tab=4,0,"",0,"",0,"",0,"",1,"Requires using CONSORT reporting standards, but only for RCTs.",0,"",0,"",1,"",0,"",2,"",4
Management and Organization Review,1740-8784,Cambridge University Press,,https://www.cambridge.org/core/journals/management-and-organization-review/editorial-statement-and-instructions-for-auth,2,"",1,"",1,"",1,"",1,"",1,"",1,"",3,"",3,"",2,"",16
Law and Human Behavior,1573-661X,American Psychological Association,,https://www.apa.org/pubs/journals/lhb/index?tab=4,0,"",1,"",1,"",1,"",2,"",1,"",1,"",3,"",3,"",2,"",15
Language Testing,1477-0946,SAGE,,https://journals.sagepub.com/author-instructions/LTJ,0,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",2
Language Learning,1467-9922,Wiley,,https://onlinelibrary.wiley.com/page/journal/14679922/homepage/forauthors.html,2,"",0,"Encourages data sharing, but does not require data availability statements.",0,"Encourages code sharing, but does not require code availability statement. ",0,"Materials must be made available to reviewers, but are not required to be disclosed in the final manuscript.",1,References the Guidelines for Reporting Quantitative Methods and Results in Primary Research,0,"",0,"",3,"Encourages replication studies, including those done in the Registered Reports format.",3,"",2,"",11
Journal of Sleep Research,1365-2869,Wiley,,https://onlinelibrary.wiley.com/page/journal/13652869/homepage/forauthors.html,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
Journal of Psychiatric and Mental Health Nursing,1365-2850,Wiley,,https://onlinelibrary.wiley.com/page/journal/13652850/homepage/forauthors.html,2,"",1,"",0,"",0,"",1,"",0,"",0,"",0,"",3,"",2,"",9
Journal of Personality Assessment,1532-7752,Taylor and Francis,,https://www.tandfonline.com/action/authorSubmission?journalCode=hjpa20&page=instructions,1,"",0,"Encourages data sharing, but does not require data availability statements.",0,"",0,"",0,"",0,"",0,"",0,"",0,"",2,"",3
